Date,HE,MW
1/8/23,21,2431.534521
1/8/23,22,1536.331934
1/8/23,23,298.0275244
1/8/23,24,725.3795782
1/9/23,1,-80.61961326
1/9/23,2,1090.068047
1/9/23,3,1774.710707
1/9/23,4,3977.181293
1/9/23,5,2488.594147
1/9/23,6,2499.35144
1/9/23,7,2031.219969
1/9/23,8,2240.059286
1/9/23,9,2599.533696
1/9/23,10,1654.542274
1/9/23,11,2585.17607
1/9/23,12,3131.487576
1/9/23,13,2615.217708
1/9/23,14,1735.949243
1/9/23,15,3001.567148
1/9/23,16,2983.780311
1/9/23,17,4195.287868
1/9/23,18,5015.421612
1/9/23,19,5456.914584
1/9/23,20,5969.673461
1/9/23,21,6738.083379
1/9/23,22,7709.680151
1/9/23,23,7042.33622
1/9/23,24,7377.824761
1/10/23,1,7821.893759
1/10/23,2,6472.205309
1/10/23,3,6222.139656
1/10/23,4,5407.421691
1/10/23,5,5500.216172
1/10/23,6,5309.853228
1/10/23,7,2969.045609
1/10/23,8,2043.367708
1/10/23,9,2731.7089
1/10/23,10,750.4088006
1/10/23,11,-502.5104252
1/10/23,12,-200.4524062
1/10/23,13,561.0274646
1/10/23,14,273.6828048
1/10/23,15,-1542.811841
1/10/23,16,57.88328245
1/10/23,17,-899.0537773
1/10/23,18,502.848865
1/10/23,19,500.6086451
1/10/23,20,-923.9939153
1/10/23,21,173.9298589
1/10/23,22,304.9869155
1/10/23,23,-1302.801895
1/10/23,24,1171.39844
1/11/23,1,976.4141276
1/11/23,2,258.6361241
1/11/23,3,484.3454395
1/11/23,4,1299.215075
1/11/23,5,-183.877441
1/11/23,6,2479.031842
1/11/23,7,3324.279524
1/11/23,8,3483.287106
1/11/23,9,3293.134564
1/11/23,10,2964.217738
1/11/23,11,1758.061901
1/11/23,12,1341.759322
1/11/23,13,184.1144193
1/11/23,14,779.746548
1/11/23,15,2096.247066
1/11/23,16,2158.714802
1/11/23,17,716.7015822
1/11/23,18,1928.884776
1/11/23,19,2552.906562
1/11/23,20,2715.454972
1/11/23,21,2125.944378
1/11/23,22,2388.288228
1/11/23,23,1298.081646
1/11/23,24,877.0345012
1/12/23,1,2407.647756
1/12/23,2,2249.859324
1/12/23,3,2585.935872
1/12/23,4,2638.251046
1/12/23,5,5210.083623
1/12/23,6,4693.701933
1/12/23,7,3606.28187
1/12/23,8,5895.697482
1/12/23,9,6391.690004
1/12/23,10,6776.249665
1/12/23,11,8094.31918
1/12/23,12,7860.683388
1/12/23,13,7988.359925
1/12/23,14,7674.165755
1/12/23,15,7333.893921
1/12/23,16,7429.436873
1/12/23,17,7652.085402
1/12/23,18,7488.639585
1/12/23,19,6970.434809
1/12/23,20,6825.516852
1/12/23,21,8550.979132
1/12/23,22,7308.254915
